"","Source","Target","edgelist2$f_tot"
"622",27,0,8
"623",25,12,8
"624",55,2,4
"625",112,2,26
"626",113,2,38
"627",114,1,80
"628",97,1,20
"629",115,2,10
"630",23,10,84
"631",20,12,6
"632",36,2,2
"633",66,2,190
"634",116,1,2
"635",117,0,4
"636",118,10,30
"637",119,0,18
"638",72,0,6
"639",51,6,2
"640",51,1,22
"641",120,1,4
"642",86,10,40
"643",36,4,124
"644",23,4,22
"645",121,0,22
"646",119,2,82
"647",122,1,4
"648",43,7,8
"649",86,1,58
"650",123,1,12
"651",124,2,12
"652",71,0,6
"653",125,0,8
"654",125,8,18
"655",30,11,6
"656",70,4,6
"657",126,2,2
"658",127,2,6
"659",128,2,40
"660",36,8,42
"661",121,2,10
"662",125,2,8
"663",67,2,20
"664",129,2,2
"665",93,2,6
"666",89,1,74
"667",130,2,4
"668",17,7,2
"669",131,1,16
"670",118,2,12
"671",16,2,16
"672",132,2,18
"673",91,2,14
"674",53,10,24
"675",106,0,12
"676",133,2,10
"677",134,8,108
"678",30,10,32
"679",135,1,4
"680",87,14,2
"681",35,10,32
"682",136,1,2
"683",90,8,2
"684",107,0,12
"685",137,2,2
"686",20,11,10
"687",23,6,32
"688",28,2,21
"689",65,2,6
"690",117,1,10
"691",96,10,274
"692",66,10,2
"693",124,7,58
"694",138,2,10
"695",110,1,6
"696",139,2,4
"697",85,2,14
"698",140,1,8
"699",90,1,6
"700",76,1,8
"701",37,7,2
"702",141,1,14
"703",46,1,8
"704",142,7,24
"705",45,0,6
"706",143,2,6
"707",53,0,6
"708",53,7,4
"709",141,2,18
"710",144,1,4
"711",23,2,6
"712",49,0,300
"713",145,2,2
"714",110,7,60
"715",21,10,8
"716",35,7,10
"717",57,10,6
"718",67,0,36
"719",18,14,4
"720",52,12,6
"721",50,8,8
"722",23,8,76
"723",30,13,2
"724",20,4,64
"725",146,1,4
"726",96,0,14
"727",48,1,4
"728",73,0,2
"729",74,2,16
"730",73,1,12
"731",76,0,2
"732",96,6,300
"733",78,1,6
"734",77,1,42
"735",90,11,44
"736",112,10,16
"737",31,0,2
"738",29,6,4
"739",147,2,6
"740",148,7,4
"741",46,0,2
"742",49,2,2
"743",19,2,2
"744",96,8,378
"745",26,0,6
"746",90,6,2
"747",21,3,30
"748",114,2,34
"749",28,8,42
"750",17,3,8
"751",149,1,2
"752",150,2,2
"753",151,0,2
"754",47,8,2
"755",152,0,2
"756",153,1,16
"757",17,13,6
"758",62,0,2
"759",154,2,12
"760",155,2,6
"761",156,2,2
"762",56,0,10
"763",71,14,2
"764",22,0,46
"765",157,1,12
"766",110,2,10
"767",33,10,2
"768",30,7,10
"769",37,6,2
"770",37,0,12
"771",54,0,58
"772",80,2,2
"773",145,10,6
"774",106,1,2
"775",49,8,248
"776",158,1,2
"777",52,0,348
"778",28,13,6
"779",28,6,16
"780",18,4,2
"781",93,1,6
"782",90,10,4
"783",48,0,14
"784",63,1,4
"785",152,1,26
"786",74,0,6
"787",78,2,4
"788",159,1,14
"789",81,0,10
"790",21,7,2
"791",104,10,34
"792",23,7,6
"793",128,1,32
"794",29,7,68
"795",48,2,68
"796",42,7,2
"797",147,14,2
"798",29,0,4
"799",92,1,24
"800",160,1,8
"801",83,8,6
"802",148,4,2
"803",94,1,4
"804",113,1,4
"805",95,8,2
"806",161,1,8
"807",162,1,14
"808",163,1,4
"809",64,0,10
"810",150,1,6
"811",164,2,4
"812",32,10,4
"813",165,1,4
"814",91,1,6
"815",35,11,50
"816",50,2,2
"817",133,1,2
"818",51,10,2
"819",63,7,14
"820",70,8,194
"821",164,7,8
"822",152,10,2
"823",166,1,2
"824",24,10,6
"825",167,1,4
"826",89,0,10
"827",96,7,80
"828",96,4,198
"829",50,7,200
"830",168,0,2
"831",127,10,12
"832",58,10,11
"833",148,10,18
"834",66,13,50
"835",46,6,2
"836",96,3,154
"837",169,1,2
"838",170,10,26
"839",171,7,12
"840",76,10,4
"841",144,8,2
"842",172,4,4
"843",104,1,2
"844",170,2,4
"845",139,1,2
"846",173,1,2
"847",61,0,18
"848",79,1,4
"849",57,0,100
"850",50,10,16
"851",174,1,14
"852",175,1,2
"853",101,0,4
"854",21,14,4
"855",131,2,4
"856",70,3,2
"857",155,1,4
"858",174,10,2
"859",174,2,2
"860",18,6,4
"861",169,7,4
"862",159,10,16
"863",96,14,8
"864",176,1,2
"865",177,1,4
"866",34,1,2
"867",178,1,8
"868",30,6,4
"869",30,12,2
"870",17,8,4
"871",71,7,4
"872",21,8,2
"873",29,4,14
"874",179,2,4
"875",42,10,6
"876",76,13,2
"877",57,7,2
"878",146,14,2
"879",180,3,18
"880",94,0,32
"881",181,8,4
"882",182,0,2
"883",19,1,10
"884",182,1,4
"885",174,4,2
"886",121,1,2
"887",61,1,2
"888",52,13,6
"889",162,12,42
"890",183,1,14
"891",184,8,2
"892",62,8,6
"893",70,10,4
"894",30,14,2
"895",185,11,2
"896",186,1,2
"897",40,13,6
"898",133,0,2
"899",154,7,2
"900",50,6,2
"901",187,3,2
"902",33,0,6
"903",17,10,4
"904",188,0,2
"905",142,1,2
"906",189,7,2
"907",92,10,2
"908",107,10,26
"909",52,2,24
"910",58,7,33
"911",28,3,2
"912",36,3,2
"913",90,2,2
"914",18,7,2
"915",118,0,2
"916",21,12,2
"917",123,2,4
"918",26,12,14
"919",190,2,34
"920",57,14,2
"921",142,6,2
"922",57,9,2
"923",163,2,2
"924",98,1,4
"925",105,2,2
"926",164,1,4
"927",169,12,24
"928",65,0,4
"929",29,13,2
"930",164,0,2
"931",107,7,2
"932",138,0,2
"933",57,168,10
"934",168,28,26
"935",70,28,2258
"936",57,20,3409
"937",57,40,1466
"938",41,40,362
"939",57,99,562
"940",41,164,78
"941",70,23,6314
"942",70,50,270
"943",70,18,7672
"944",70,36,598
"945",144,35,38
"946",183,18,424
"947",131,18,1246
"948",128,121,2
"949",185,35,8
"950",57,81,244
"951",57,18,1870
"952",157,16,10
"953",70,175,12
"954",70,90,10
"955",128,15,202
"956",179,18,52
"957",185,17,4
"958",57,17,116
"959",168,35,8
"960",70,35,1610
"961",57,16,24
"962",70,53,1360
"963",191,18,24
"964",145,5,15
"965",179,20,4
"966",57,29,304
"967",168,23,26
"968",57,62,386
"969",70,15,2750
"970",179,111,2
"971",179,30,2
"972",84,18,370
"973",41,111,16
"974",78,18,740
"975",141,55,2
"976",144,18,1382
"977",119,23,148
"978",119,50,274
"979",119,28,110
"980",119,35,90
"981",119,36,76
"982",119,67,168
"983",119,64,2
"984",119,53,41
"985",119,18,808
"986",57,21,972
"987",119,21,616
"988",145,152,63
"989",185,18,98
"990",70,17,1034
"991",70,20,511
"992",70,62,1190
"993",70,69,1558
"994",57,93,82
"995",70,51,456
"996",57,53,75
"997",57,30,516
"998",183,17,22
"999",70,21,290
"1000",70,107,338
"1001",57,170,40
"1002",41,35,22
"1003",57,92,708
"1004",70,16,62
"1005",78,28,80
"1006",57,32,268
"1007",145,53,36
"1008",57,69,494
"1009",57,15,2376
"1010",168,16,2
"1011",168,64,1
"1012",168,18,154
"1013",168,57,12
"1014",168,195,6
"1015",57,63,96
"1016",57,132,10
"1017",57,97,56
"1018",57,39,10
"1019",128,50,102
"1020",128,18,404
"1021",41,20,16
"1022",41,23,18
"1023",157,36,10
"1024",145,118,130
"1025",70,29,720
"1026",78,46,4
"1027",78,23,66
"1028",78,36,218
"1029",78,15,98
"1030",78,96,8
"1031",78,48,27
"1032",78,32,38
"1033",78,30,34
"1034",70,30,446
"1035",168,81,156
"1036",57,118,18
"1037",168,17,16
"1038",128,28,96
"1039",128,115,2
"1040",119,57,54
"1041",119,105,52
"1042",119,120,44
"1043",119,31,4
"1044",119,87,66
"1045",70,96,2100
"1046",70,87,516
"1047",144,44,40
"1048",57,189,86
"1049",145,20,4
"1050",168,107,14
"1051",168,105,4
"1052",168,50,12
"1053",168,36,16
"1054",145,195,38
"1055",168,178,4
"1056",145,96,2
"1057",168,87,6
"1058",70,133,16
"1059",70,111,30
"1060",70,63,16
"1061",70,164,10
"1062",70,110,34
"1063",84,57,26
"1064",84,17,100
"1065",84,28,40
"1066",84,35,80
"1067",84,225,16
"1068",84,92,6
"1069",84,36,24
"1070",84,82,2
"1071",128,21,2
"1072",179,23,10
"1073",179,28,138
"1074",179,35,2
"1075",179,98,2
"1076",179,159,2
"1077",128,23,124
"1078",128,35,64
"1079",128,105,32
"1080",128,61,206
"1081",128,36,24
"1082",119,43,32
"1083",84,129,26
"1084",185,67,2
"1085",57,79,6
"1086",144,15,66
"1087",119,168,32
"1088",119,20,122
"1089",119,118,4
"1090",144,48,18
"1091",144,23,80
"1092",128,40,112
"1093",179,36,26
"1094",57,58,258
"1095",57,66,321
"1096",78,20,20
"1097",78,51,52
"1098",78,29,70
"1099",78,125,42
"1100",78,50,130
"1101",78,176,2
"1102",157,23,40
"1103",70,105,694
"1104",70,46,152
"1105",70,167,82
"1106",70,57,332
"1107",70,32,204
"1108",70,99,270
"1109",70,77,54
"1110",70,47,36
"1111",144,139,20
"1112",57,27,48
"1113",57,84,2
"1114",57,51,8
"1115",57,174,14
"1116",57,133,154
"1117",57,85,444
"1118",57,46,14
"1119",57,41,336
"1120",168,40,12
"1121",131,21,10
"1122",57,180,2
"1123",57,106,390
"1124",78,70,44
"1125",57,102,12
"1126",128,206,2
"1127",57,169,282
"1128",41,18,44
"1129",57,50,6
"1130",141,18,108
"1131",128,17,60
"1132",128,96,42
"1133",70,207,4
"1134",131,84,8
"1135",131,17,58
"1136",131,62,2
"1137",131,36,36
"1138",144,67,28
"1139",131,152,6
"1140",131,173,2
"1141",70,117,6
"1142",84,50,6
"1143",84,100,10
"1144",84,67,12
"1145",70,67,196
"1146",84,27,2
"1147",84,96,6
"1148",70,139,4
"1149",84,69,16
"1150",141,50,2
"1151",168,20,99
"1152",145,62,2
"1153",168,67,2
"1154",143,173,14
"1155",192,35,32
"1156",144,176,10
"1157",168,24,4
"1158",78,133,2
"1159",78,62,56
"1160",78,67,132
"1161",78,39,16
"1162",143,23,66
"1163",57,98,64
"1164",78,17,70
"1165",41,110,48
"1166",141,111,20
"1167",57,64,8
"1168",78,57,10
"1169",78,107,12
"1170",70,48,21
"1171",145,63,42
"1172",119,17,90
"1173",119,123,8
"1174",119,42,60
"1175",57,203,2
"1176",57,148,490
"1177",78,173,6
"1178",145,36,6
"1179",119,159,2
"1180",131,35,44
"1181",179,67,4
"1182",78,77,12
"1183",179,152,6
"1184",119,207,2
"1185",145,18,22
"1186",70,125,50
"1187",157,28,36
"1188",157,30,4
"1189",70,58,100
"1190",70,93,406
"1191",70,198,60
"1192",144,62,28
"1193",179,203,6
"1194",57,73,2
"1195",70,92,40
"1196",128,20,2
"1197",144,84,10
"1198",131,29,28
"1199",144,107,6
"1200",131,23,24
"1201",131,125,6
"1202",144,36,16
"1203",131,15,68
"1204",131,129,8
"1205",84,23,10
"1206",119,72,2
"1207",168,135,2
"1208",144,190,6
"1209",57,134,124
"1210",141,28,6
"1211",144,117,40
"1212",70,19,21
"1213",119,29,56
"1214",119,82,20
"1215",145,159,32
"1216",70,49,294
"1217",57,112,20
"1218",57,83,30
"1219",131,20,28
"1220",70,40,50
"1221",78,47,18
"1222",78,66,15
"1223",70,66,39
"1224",128,62,20
"1225",128,81,14
"1226",57,124,8
"1227",143,18,20
"1228",57,177,206
"1229",57,65,12
"1230",128,118,26
"1231",185,131,2
"1232",57,35,2
"1233",70,41,12
"1234",119,70,12
"1235",119,135,38
"1236",119,16,50
"1237",119,164,1
"1238",183,198,3
"1239",168,169,2
"1240",78,180,2
"1241",78,174,4
"1242",78,161,2
"1243",131,180,2
"1244",84,180,4
"1245",57,19,21
"1246",168,136,2
"1247",145,23,18
"1248",84,194,6
"1249",128,107,2
"1250",168,15,6
"1251",144,17,24
"1252",131,28,8
"1253",70,135,62
"1254",84,58,2
"1255",84,66,4
"1256",70,31,2
"1257",70,27,22
"1258",128,58,2
"1259",141,40,34
"1260",145,124,2
"1261",41,16,2
"1262",78,198,6
"1263",70,82,80
