Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,68,,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,,149,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,FR,XX,,1,ivory pieces,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,IL,XX,25,50,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,NO,XX,1,1,ivory carvings,sets,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,OM,XX,1,,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,RU,XX,1,1,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,SG,XX,,52,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,GL,XX,9,,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,JP,XX,7,7,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,KW,XX,7,,ivory carvings,,E,I
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,NO,XX,,1,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,ES,CH,XX,,1,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,ES,CH,,1,,ivory carvings,sets,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,ES,US,XX,5,,ivory carvings,,,I
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CH,XX,600,,ivory carvings,g,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CH,XX,2,,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CH,XX,1,,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CH,XX,26,,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CH,XX,,88,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CH,XX,1,,ivory pieces,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CN,XX,1,,ivory carvings,kg,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,CN,XX,,1,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,FR,ML,,1,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,MC,XX,,6,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,FR,US,XX,1,,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,AU,XX,,35,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,BG,XX,,1,ivory pieces,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,BR,,,2,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,4,,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,142,,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,CH,XX,,324,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,IL,XX,,1,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,JE,XX,1,,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,JP,XX,5,3,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GB,NO,XX,6,8,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GR,CH,XX,65,,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,GR,CH,XX,,65,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,CH,XX,3,,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,CH,XX,,3,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,FR,XX,2,,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,NL,XX,19,13,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HK,SG,XX,,2,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,HR,FR,XX,,1,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,ID,NL,XX,,1,ivory pieces,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IL,DE,XX,,25,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IN,CH,XX,,1,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,BR,,,3,ivory pieces,,E,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,CN,XX,1,,ivory carvings,,E,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,CN,XX,,4,ivory carvings,,E,W
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,US,XX,1,,ivory carvings,,E,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,IT,US,XX,,1,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,AT,XX,,2,ivory carvings,sets,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,AT,XX,8,,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,AT,XX,4,,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,AT,XX,,8,ivory pieces,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,AU,XX,,1,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,CH,XX,,5,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,DE,XX,,5,ivory carvings,sets,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,DE,XX,5,,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,DK,XX,7,7,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,FR,XX,,1,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,FR,XX,9,1,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,FR,XX,3,2,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,GB,XX,,6,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,IT,XX,22,,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,MC,XX,,18,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,NL,XX,1,1,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,US,XX,,34,ivory carvings,,E,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,US,XX,144,104,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,JP,US,XX,,6,ivory carvings,,Q,U
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,KR,JP,XX,,11,ivory carvings,pairs,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,KW,CH,XX,,2,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,KW,DK,XX,4,,ivory carvings,,E,I
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,MA,FR,US,,1,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,MX,FR,XX,,1,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,MX,FR,XX,,1,ivory pieces,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,NL,CH,XX,,6,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,NO,SE,XX,,1,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,NZ,AU,XX,,2,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,NZ,BE,XX,,1,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,NZ,IL,XX,,2,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,NZ,IL,XX,,1,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,NZ,SG,XX,,1,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,PT,CH,XX,,3,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,PT,CH,XX,3,,ivory pieces,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,QA,FR,BE,,1,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,QA,FR,IR,,1,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,RU,BR,RU,,2,ivory pieces,,E,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,RU,CH,XX,,1,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,SE,NO,XX,,3,ivory carvings,,E,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,SE,US,XX,1,,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,SG,VA,XX,6,,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,SI,HR,XX,2,,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,TH,FR,XX,,1,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,TR,BE,XX,,4,ivory carvings,,E,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,TW,CH,XX,,3,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,TW,JP,XX,,1,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,TW,NL,XX,,1,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,TW,US,XX,,1,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,AT,XX,,1,ivory carvings,sets,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,BE,XX,,42,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,BE,XX,1,5,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,BI,,3,,ivory carvings,,P,I
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,BR,,,2,ivory pieces,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,US,CA,XX,1,,ivory carvings,,P,I
