,Country,Total imports,Total exports,Net imports,2005_net_import_counts,2005_import_counts,2005_export_counts,2006_net_import_counts,2006_import_counts,2006_export_counts,2007_net_import_counts,2007_import_counts,2007_export_counts,2008_net_import_counts,2008_import_counts,2008_export_counts,2009_net_import_counts,2009_import_counts,2009_export_counts,2010_net_import_counts,2010_import_counts,2010_export_counts,2011_net_import_counts,2011_import_counts,2011_export_counts,2012_net_import_counts,2012_import_counts,2012_export_counts,2013_net_import_counts,2013_import_counts,2013_export_counts,2014_net_import_counts,2014_import_counts,2014_export_counts,2015_net_import_counts,2015_import_counts,2015_export_counts
32,GA,1.0,7.0,-6.0,-4.0,0.0,4.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
33,GN,0.0,4.0,-4.0,0.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,GM,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,GL,6.0,12.0,-6.0,-4.0,0.0,4.0,0.0,2.0,2.0,1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-4.0,0.0,4.0
36,GI,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-2.0,0.0,2.0
37,GH,3.0,17.0,-14.0,-3.0,0.0,3.0,-2.0,0.0,2.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-4.0,0.0,4.0,-1.0,0.0,1.0,0.0,1.0,1.0,-1.0,0.0,1.0,-2.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
38,OM,5.0,3.0,2.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
39,BW,1.0,15.0,-14.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1.0,4.0,-3.0,0.0,3.0,-3.0,0.0,3.0,0.0,0.0,0.0,-2.0,0.0,2.0,-2.0,0.0,2.0,0.0,0.0,0.0
40,HR,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,BS,0.0,5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,-3.0,0.0,3.0
42,HT,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,HU,21.0,5.0,16.0,3.0,3.0,0.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0
44,HK,354.0,122.0,232.0,10.0,21.0,11.0,4.0,18.0,14.0,9.0,18.0,9.0,1.0,15.0,14.0,8.0,16.0,8.0,28.0,34.0,6.0,43.0,51.0,8.0,33.0,51.0,18.0,28.0,46.0,18.0,47.0,56.0,9.0,21.0,28.0,7.0
45,HN,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,VE,0.0,5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,-3.0,0.0,3.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,PW,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,PT,54.0,101.0,-47.0,8.0,12.0,4.0,-4.0,5.0,9.0,-16.0,3.0,19.0,6.0,13.0,7.0,-3.0,5.0,8.0,-8.0,4.0,12.0,-2.0,6.0,8.0,-6.0,3.0,9.0,-3.0,0.0,3.0,-11.0,0.0,11.0,-8.0,3.0,11.0
