,Country,2005_import_counts,2006_import_counts,2007_import_counts,2008_import_counts,2009_import_counts,2010_import_counts,2011_import_counts,2012_import_counts,2013_import_counts,2014_import_counts,2015_import_counts,2005_export_counts,2006_export_counts,2007_export_counts,2008_export_counts,2009_export_counts,2010_export_counts,2011_export_counts,2012_export_counts,2013_export_counts,2014_export_counts,2015_export_counts
101,CA,42,35,25,20,22,20,30,33,47,51,35,38.0,32.0,49.0,25.0,26.0,36.0,38.0,50.0,63.0,54.0,50.0
102,CF,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
103,CD,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,CZ,6,2,4,0,1,2,1,3,3,6,1,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,6.0
105,XX,6,0,2,3,1,2,3,3,8,12,6,2.0,5.0,7.0,4.0,7.0,3.0,2.0,4.0,8.0,6.0,6.0
106,CX,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,CS,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,MA,4,1,2,0,2,0,2,0,1,0,4,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
109,XV,0,0,0,0,0,3,2,0,0,0,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
110,CU,0,0,0,0,0,0,0,0,0,3,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,2.0
111,SY,0,1,1,1,1,1,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
112,KE,0,2,1,0,0,0,0,0,3,0,0,5.0,3.0,5.0,2.0,2.0,1.0,8.0,1.0,0.0,3.0,0.0
113,KH,0,0,0,0,1,1,0,0,0,0,0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
114,SU,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
115,SK,0,0,0,0,1,1,1,2,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
116,KR,7,6,6,5,4,7,9,1,8,15,5,0.0,4.0,2.0,3.0,1.0,9.0,7.0,3.0,8.0,7.0,3.0
117,SI,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,KP,0,0,0,0,0,0,0,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,KW,6,4,1,7,0,2,0,2,4,2,4,1.0,1.0,0.0,3.0,1.0,2.0,3.0,1.0,4.0,0.0,2.0
