"","unique.base.edge.","source","target","f2005","f2006","f2007","f2008","f2009","f2010","f2011","f2012","f2013","f2014","f2015","w2005","w2006","w2007","w2008","w2009","w2010","w2011","w2012","w2013","w2014","w2015","f_tot"
"5162","GY-HK","GY","HK",0,26,34,8,20,34,42,42,8,8,12,0,0.000171075141465982,0.00021401549723983,4.87276005311308e-05,0.00012479253241486,0.000208736224943979,0.000257171723356703,0.000224439302528148,4.58755053473636e-05,4.88108457699301e-05,9.21008196972953e-05,234
"5163","GN-RS","GN","RS",0,2,2,20,18,8,0,0,0,0,0,0,1.3159626266614e-05,1.25891468964606e-05,0.000121819001327827,0.000112313279173374,4.91144058691715e-05,0,0,0,0,0,50
"5164","GD-DE","GD","DE",0,2,0,0,0,0,0,0,0,0,0,0,1.3159626266614e-05,0,0,0,0,0,0,0,0,0,2
"5165","GL-LT","GL","LT",0,2,0,0,0,0,0,0,0,0,0,0,1.3159626266614e-05,0,0,0,0,0,0,0,0,0,2
"5166","GR-QA","GR","QA",0,0,1,1,1,0,0,0,2,0,0,0,0,6.29457344823028e-06,6.09095006639136e-06,6.23962662074301e-06,0,0,0,1.14688763368409e-05,0,0,5
"5167","GN-TH","GN","TH",0,0,8,22,2,0,6,12,0,0,0,0,0,5.03565875858422e-05,0.00013400090146061,1.2479253241486e-05,0,3.67388176223862e-05,6.41255150080424e-05,0,0,0,50
"5168","GN-UA","GN","UA",0,0,4,0,0,0,0,8,0,0,0,0,0,2.51782937929211e-05,0,0,0,0,4.27503433386949e-05,0,0,0,12
"5169","GY-KR","GY","KR",0,0,4,1,7,11,5,2,0,3,1,0,0,2.51782937929211e-05,6.09095006639136e-06,4.36773863452011e-05,6.75323080701108e-05,3.06156813519885e-05,1.06875858346737e-05,0,1.83040671637238e-05,7.67506830810794e-06,34
"5170","GY-TR","GY","TR",0,0,50,22,20,42,26,18,34,60,42,0,0,0.000314728672411514,0.00013400090146061,0.00012479253241486,0.00025785063081315,0.00015920154303034,9.61882725120636e-05,0.000194970897726295,0.000366081343274476,0.000322352868940534,314
"5171","GT-ID","GT","ID",0,0,2,2,0,0,0,0,0,0,0,0,0,1.25891468964606e-05,1.21819001327827e-05,0,0,0,0,0,0,0,4
"5172","GW-ES","GW","ES",0,0,2,0,0,0,0,0,0,0,0,0,0,1.25891468964606e-05,0,0,0,0,0,0,0,0,2
"5173","GW-MR","GW","MR",0,0,2,0,0,2,0,0,0,2,0,0,0,1.25891468964606e-05,0,0,1.22786014672929e-05,0,0,0,1.22027114424825e-05,0,6
"5174","GW-PT","GW","PT",0,0,6,9,24,39,0,0,0,0,0,0,0,3.77674406893817e-05,5.48185505975222e-05,0.000149751038897832,0.000239432728612211,0,0,0,0,0,78
"5175","GG-GI","GG","GI",0,0,2,0,0,0,0,0,0,0,0,0,0,1.25891468964606e-05,0,0,0,0,0,0,0,0,2
"5176","GW-SN","GW","SN",0,0,2,0,0,2,0,0,0,0,0,0,0,1.25891468964606e-05,0,0,1.22786014672929e-05,0,0,0,0,0,4
"5177","GR-KR","GR","KR",0,0,0,1,3,2,2,4,4,3,0,0,0,0,6.09095006639136e-06,1.8718879862229e-05,1.22786014672929e-05,1.22462725407954e-05,2.13751716693475e-05,2.29377526736818e-05,1.83040671637238e-05,0,19
"5178","GY-ID","GY","ID",0,0,0,22,0,2,0,18,14,24,28,0,0,0,0.00013400090146061,0,1.22786014672929e-05,0,9.61882725120636e-05,8.02821343578863e-05,0.00014643253730979,0.000214901912627022,108
"5179","GT-MY","GT","MY",0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.21819001327827e-05,0,0,0,0,0,0,0,2
"5180","GN-SN","GN","SN",0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.21819001327827e-05,0,0,0,0,0,0,0,2
"5181","GT-RO","GT","RO",0,0,0,2,1,0,0,0,0,0,0,0,0,0,1.21819001327827e-05,6.23962662074301e-06,0,0,0,0,0,0,3
"5182","GT-MA","GT","MA",0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.21819001327827e-05,0,0,0,0,0,0,0,2
"5183","GT-IS","GT","IS",0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.21819001327827e-05,0,0,0,0,0,0,0,2
